"fmisid","region","iso2","name","latitude","longitude"
103107,"Kokkola","FI","Kokkola keskusta Pitkänsillankatu",63.8376389,23.1315994
104256,"Kokkola","FI","Kokkola Tehtaankatu, Rosso",63.8361282,23.1322403
103108,"Kokkola","FI","Kokkola Ykspihlaja",63.8415718,23.0421906
104155,"Kotka","FI","Kotka Hakalanmäki",60.5051804,26.9552402
103105,"Kotka","FI","Kotka Kirjastotalo",60.4654999,26.9389305
104082,"Kotka","FI","Kotka/Kirkkokatu/siirrettävä",60.4682083,26.9459591
107167,"Kotka","FI","Kotka Metsäkulma",60.5021896,26.9707298
107164,"Kotka","FI","Kotka Mussalo satama/siirrettävä",60.4283905,26.9172001
103106,"Kotka","FI","Kotka Rauhala",60.5131607,26.9462109
107285,"Kotka","FI","Kotka Ruukinkatu",60.4680214,26.9514599
107622,"Kotka","FI","Kotka Tiutinen",60.4690399,26.9826107
104278,"Kouvola","FI","Kouvola Inkeroinen",60.7008018,26.8174591
105409,"Kouvola","FI","Kouvola Inkeroinen tehtaanmäen koulu",60.7065315,26.8276291
104078,"Kouvola","FI","Kouvola Kankaan Koulu",60.8704491,26.7010994
103111,"Kouvola","FI","Kouvola Käsityöläisenkatu",60.8692589,26.7056007
103112,"Kouvola","FI","Kouvola Kuusankoski Urheilukentäntie",60.9071999,26.6343899
104166,"Kouvola","FI","Kouvola Lappakosken koulu",60.9256210,26.6753101
104277,"Kouvola","FI","Kouvola Myllykoski, Paperitehtaantie 5",60.7662697,26.7877293
104321,"Kouvola","FI","Kouvola Myllykoski, Pappilantie 7",60.7688713,26.7839508
103978,"Kouvola","FI","Kouvola Ravikylä",60.8858795,26.7033501
104279,"Kouvola","FI","Kouvola Ummeljoki",60.7662315,26.7620392
104365,"Suomi","FI","Kristiinankaupunki",62.2729988,21.3633804
104024,"Kristiinankaupunki","FI","Kristiinankaupunki3",62.2735596,21.3889694
104301,"Kuopio","FI","Kuopio Haapaniemi 2",62.8852081,27.6699104
100882,"Kuopio","FI","Kuopio Haminalahti",62.8497009,27.5287991
104236,"Kuopio","FI","Kuopio Itkonniemi",62.8989792,27.7204494
102102,"Kuopio","FI","Kuopio Kasarmipuisto",62.8936005,27.6695194
103983,"Kuopio","FI","Kuopio Kelloniemi 3",62.9196701,27.7055302
107541,"Kuopio","FI","Kuopio Kurkimäki",62.7810211,27.4967709
103093,"Kuopio","FI","Kuopio Maaherrankatu",62.8933411,27.6868801
104098,"Kuopio","FI","Kuopio Niirala",62.8887482,27.6539707
104006,"Kuopio","FI","Kuopio Puistokatu",62.8937302,27.6708794
106954,"Kuopio","FI","Kuopio Savilahti KYS",62.8955307,27.6472492
103094,"Kuopio","FI","Kuopio Sorsasalo",62.9552917,27.6979694
103095,"Kuopio","FI","Kuopio Tasavallankatu",62.8819809,27.6609306
103130,"Lahti","FI","Lahti Kisapuisto",60.9878082,25.6495399
103131,"Lahti","FI","Lahti Laune Pohjoinen Liipolankatu",60.9670410,25.6548901
104280,"Lahti","FI","Lahti Metsäkangas",60.9782410,25.5880604
107282,"Lahti","FI","Lahti Mustamäenkatu",60.9627113,25.6436901
103132,"Lahti","FI","Lahti Saimaankatu",60.9912910,25.6657906
103133,"Lahti","FI","Lahti Satulakatu",60.9790688,25.5910892
